precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUMITRU MIRCEA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUCĂTURĂ MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BECHET MIHAI-voturi","GUNĂ STELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","RĂMESCU CORNEL-UNIUNEA SALVAȚI ROMÂNIA-voturi"
17,DOLJ,"CAMIN CULTURAL GIUBEGA",363,GIUBEGA,72506,3,PART,PRCNCT,P,P_SV,"2024-06-12 14:42:27",939,846,2,67,24,614,524,0,67,23,602,12,908,294,11,371,5,212,3
17,DOLJ,"PRIMARIA VECHE",364,GIUBEGA,72506,3,PART,PRCNCT,P,P_SV,"2024-06-12 15:05:18",881,806,0,65,10,625,550,0,65,10,604,21,900,275,15,330,9,243,7
