precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NETOTEA-SUCIU DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢÂNŢAR GABRIEL-PETRE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞERPESCU ION-PARTIDUL SOCIAL DEMOCRAT-voturi","HORNOIU DAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","MACHIDON GHEORGHIŢĂ-voturi"
38,TULCEA,"GRĂDINIȚA DE COPII CORP 2",146,MAHMUDIA,160724,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:13:49",1076,1053,0,6,17,574,551,0,6,17,569,5,1161,587,43,35,466,10,15
38,TULCEA,"GRĂDINIȚA DE COPII CORP 2",145,MAHMUDIA,160724,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:23:19",1051,1014,2,9,26,536,502,0,9,25,524,12,1120,50,71,27,406,11,9
