precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","SIDERAŞ ALEXANDRU-voturi"
1,ALBA,"AŞEZĂMÂNTUL SOCIAL - GRĂDINIŢA ”SFÂNTA IRINA”",79,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:16:32",1135,1131,0,4,0,548,544,0,4,0,537,10,1300,753,72,29,16,328,72,20
1,ALBA,"ASOCIAŢIA JUDEŢEANĂ A VÂNĂTORILOR SI PESCARILOR SPORTIVI ALBA - CLUBUL BLAJ",84,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:28:02",324,320,0,3,1,172,168,0,3,1,170,2,400,228,24,5,2,118,14,7
1,ALBA,"BAZA DE AGREMENT A MUNICIPIULUI BLAJ",78,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:44",728,716,0,9,3,341,329,0,9,3,328,13,800,459,41,43,4,230,7,3
1,ALBA,"CENTRUL CULTURAL ”IACOB MUREŞIANU’’",81,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:26:17",786,772,1,8,5,435,422,0,8,5,428,7,800,365,57,21,17,249,74,10
1,ALBA,"COLEGIUL NAŢIONAL ”INOCHENTIE MICU CLAIN’’",86,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:00:36",1330,1319,2,6,3,702,692,1,6,3,684,18,1500,798,97,34,20,404,107,22
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL ”IZVOARELE” BLAJ",89,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:32",1285,1278,0,5,2,626,619,0,5,2,593,25,1400,782,66,64,6,324,97,36
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMEA COPIILOR” BLAJ",77,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:10",571,561,1,9,0,297,288,0,9,0,283,5,600,312,39,15,4,165,35,25
1,ALBA,"LICEUL TEHNOLOGIC ”ŞTEFAN MANCIULEA” BLAJ",82,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:37:40",637,611,7,6,13,306,287,0,6,13,295,11,700,394,51,22,4,162,47,9
1,ALBA,"LICEUL TEHNOLOGIC ”TIMOTEI CIPARIU”",85,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:39:37",1390,1383,2,1,4,783,777,1,1,4,771,12,1500,717,81,53,16,449,140,32
1,ALBA,"PIAŢA AGROALIMENTARĂ",76,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:48",951,951,0,0,0,459,459,0,0,0,447,12,1146,687,51,37,10,264,67,18
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” MĂNĂRADE",92,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:24",905,887,3,7,8,429,413,1,7,8,415,14,900,471,24,27,1,321,35,7
1,ALBA,"ŞCOALA GIMNAZIALĂ ”ION MICU MOLDOVAN” BLAJ",88,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:42:02",1582,1569,0,12,1,630,617,0,12,1,563,67,1700,1070,73,62,14,373,24,17
1,ALBA,"ŞCOALA GIMNAZIALĂ ”PETRU PAVEL ARON” BLAJ",87,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:08",1677,1655,6,14,2,814,798,0,14,2,789,25,1800,986,126,74,8,419,132,30
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SIMION BĂRNUŢIU” TIUR",91,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:19",658,640,0,4,14,658,640,0,4,14,641,17,1412,754,51,34,37,444,65,10
1,ALBA,"ŞCOALA GIMNAZIALĂ ”TOMA COCIŞIU” BLAJ",80,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:15",1135,1125,4,6,0,530,524,0,6,0,509,6,1300,784,68,30,21,299,63,28
1,ALBA,"ŞCOALA PRIMARĂ PETRISAT",90,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:09:48",464,458,0,6,0,270,264,0,6,0,263,7,500,230,11,6,92,142,8,4
1,ALBA,"SERVICIUL PUBLIC DE ASISTENŢĂ SOCIALĂ BLAJ",83,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:20:11",498,494,1,2,1,269,266,0,2,1,265,4,500,231,22,14,1,175,46,7
