precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PLEŞCA MARIA-PARTIDUL SOCIAL DEMOCRAT-voturi","CRĂCIUN ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL VOITINEL",537,VOITINEL,151558,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:39:23",1881,1853,0,0,28,820,792,0,0,28,777,43,2000,1180,700,77
35,SUCEAVA,"SCOALA CU CLASELE I-VIII VOITINEL",538,VOITINEL,151558,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:38",1751,1723,1,1,26,916,889,0,1,26,883,33,1982,1066,748,135
