precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEGOIŢĂ GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","DEDU ION-MIHĂIŢĂ-SERGIU-PARTIDUL NAȚIONAL LIBERAL-voturi","PLEŞOIU PETRE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CAMINUL CULTURAL PINU",170,BRĂEŞTI,45539,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:26:01",254,231,0,7,16,178,155,0,7,16,169,9,281,103,131,19,19
10,BUZĂU,"ȘCOALA GIMNAZIALĂ BRĂTILEȘTI",169,BRĂEŞTI,45539,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:31",1015,994,0,4,17,683,662,0,4,17,656,27,1095,412,396,251,9
10,BUZĂU,"ŞCOALA GIMNAZIALĂ COMUNA BRĂEŞTI",168,BRĂEŞTI,45539,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:23",356,336,0,5,15,276,256,0,5,15,248,8,402,146,175,60,13
