precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ZÎRNĂ CRISTIAN-voturi"
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU VLAHUŢĂ”",50,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:28:07",1367,1356,0,11,0,552,541,0,11,0,533,19,1499,947,249,112,58,9,24,55,26
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „DUILIU ZAMFIRESCU” FOCȘANI",39,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:56:28",1342,1332,1,9,0,592,583,0,9,0,576,16,1473,881,236,134,59,8,26,90,23
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „DUILIU ZAMFIRESCU” FOCȘANI",38,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:39:11",820,814,1,5,0,303,298,0,5,0,293,10,910,605,157,43,30,6,11,40,6
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „DUILIU ZAMFIRESCU” FOCȘANI",40,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:49:03",1621,1607,1,13,0,706,693,0,13,0,671,35,1779,1073,274,157,82,23,16,99,20
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „ION BASGAN” FOCȘANI",20,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 19:40:04",1772,1733,7,12,20,845,813,0,12,20,810,35,1931,1086,366,194,75,24,18,102,31
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „ION BASGAN” FOCȘANI",19,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:21:22",1633,1624,0,9,0,730,721,0,9,0,712,18,1798,1068,279,152,94,16,21,124,26
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",46,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:46:46",1436,1423,1,11,1,551,539,0,11,1,535,16,1578,1027,254,107,61,19,16,62,16
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",47,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:44:47",1215,1203,3,9,0,729,720,0,9,0,701,27,1325,597,317,160,66,13,25,101,19
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",44,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:46:56",1377,1368,1,8,0,540,532,0,8,0,522,18,1519,979,242,99,54,14,26,77,10
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",48,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:35:52",1552,1545,0,7,0,572,565,0,7,0,552,1,1705,1152,296,82,78,12,14,52,18
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",45,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:44:44",1434,1419,2,13,0,584,571,0,13,0,549,35,1567,983,276,121,60,8,23,55,6
41,VRANCEA,"ŞCOALA GIMNAZIALĂ „ŞTEFAN CEL MARE” FOCȘANI",7,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:11:18",802,793,0,9,0,374,365,0,9,0,363,11,881,507,175,82,30,2,12,52,10
41,VRANCEA,"ŞCOALA GIMNAZIALĂ „ŞTEFAN CEL MARE” FOCȘANI",6,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:54:36",1115,1105,0,9,1,440,430,0,9,1,419,21,1223,783,214,96,25,7,11,49,17
41,VRANCEA,"ŞCOALA GIMNAZIALĂ „ŞTEFAN CEL MARE” FOCȘANI",5,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:09:07",1067,1059,1,7,0,449,442,0,7,0,438,11,1172,723,191,91,53,9,22,62,10
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „ȘTEFAN CEL MARE” FOCȘANI",4,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:05:40",1267,1248,8,11,0,522,511,0,11,0,505,17,1381,859,194,129,49,27,8,78,20
41,VRANCEA,"TEATRUL MUNICIPAL „MAIOR GHEORGHE PASTIA” FOCŞANI",2,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-11 18:22:03",1511,1501,4,6,0,700,694,0,6,0,678,22,1656,956,292,170,61,16,19,99,21
