precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KISS MIHAIL-PARTIDUL NAȚIONAL LIBERAL-voturi","DEÁK-SZÉKELY SZILÁRD-LEVENTE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","RACZ MIHAELA-ADRIANA-PARTIDUL SOCIAL DEMOCRAT-voturi"
1,ALBA,"GRĂDINIȚA COPII RIMETEA",357,RIMETEA,6592,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:31:41",446,425,1,9,11,272,252,0,9,11,266,6,471,199,35,209,22
1,ALBA,"ŞCOALA PRIMARA COLŢEŞTI",358,RIMETEA,6592,8,PART,PRCNCT,P,P_SV,"2024-06-10 14:14:31",439,415,0,3,21,263,239,0,3,21,259,4,468,205,21,233,5
