precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PMP - FORȚA DREPTEI-voturi","ONEŢIU MARIA-CORINA-voturi","PINTEA MIHAELA-AURELIANA-voturi","BUZAŞ-SIGHIŞOREAN RAISSA-voturi","PALCU CĂLIN-voturi","LULA CLAUDIU-SORIN-voturi","BACIU DANIEL-SIMION-voturi"
28,MUREŞ,"CĂMIN CULTURAL ALBEȘTI",223,ALBEŞTI,114603,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:52:48",1748,1734,2,5,7,859,846,1,5,7,811,48,1921,1062,134,61,144,283,9,100,12,17,18,13,1,19
28,MUREŞ,"CĂMIN CULTURAL ȚOPA",226,ALBEŞTI,114603,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:03:46",298,288,0,5,5,173,163,0,5,5,167,6,343,170,13,11,21,69,0,40,2,3,5,2,0,1
28,MUREŞ,"CĂMINUL CULTURAL BOIU",225,ALBEŞTI,114603,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:35:52",1193,1182,3,6,2,648,638,2,6,2,591,54,1276,622,99,57,83,113,2,210,0,6,2,1,11,7
28,MUREŞ,"SALA DE SPORT",224,ALBEŞTI,114603,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:24:17",1829,1801,9,13,6,916,897,0,13,6,864,52,2000,1084,119,66,178,270,45,109,25,21,15,3,3,10
