precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREA IULIAN-ROBERT-PARTIDUL NAȚIONAL LIBERAL-voturi","HERĂSCU VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","MITRANA TEODOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANTONIE LUCIAN-FORȚA DREPTEI-voturi"
40,VÂLCEA,"CĂMINUL CULTURAL TETOIU",405,TETOIU,173855,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:34:18",552,490,0,36,26,357,295,0,36,26,337,10,540,193,113,184,15,25
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV BĂROIU",406,TETOIU,173855,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:35",309,287,0,8,14,194,172,0,8,14,186,8,328,134,87,81,9,9
40,VÂLCEA,"SCOALA GENERALĂ CU CLASELE.I-IV BUDELE",407,TETOIU,173855,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:10:33",139,129,1,3,6,109,99,1,3,6,102,7,148,39,41,35,4,22
40,VÂLCEA,"ŞCOALA GENERALĂ CU CLASELE.I-IV NENCIULEŞTI",408,TETOIU,173855,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:55",299,256,0,35,8,195,152,0,35,8,187,8,277,82,44,102,6,35
40,VÂLCEA,"ŞCOALA GENERALĂ CU CLASELE.I-VIII ŢEPEŞTI",409,TETOIU,173855,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:10",647,590,0,19,38,452,395,0,19,38,433,19,720,268,216,163,31,23
