precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"AGENŢIA JUDEŢEANĂ PENTRU PLĂŢI ŞI INSPECŢIE SOCIALĂ",33,"MUNICIPIUL FOCŞANI",174744,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:07:18",1397,1384,4,9,0,541,532,0,9,0,517,24,1528,987,153,13,20,206,49,76
41,VRANCEA,"AȘEZĂMÂNT CULTURAL",344,VINTILEASCA,178475,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:18:06",612,576,0,21,15,383,347,0,21,15,362,21,650,267,69,1,4,268,13,7
41,VRANCEA,"ATENEUL POPULAR „MAIOR GHEORGHE PASTIA” FOCȘANI",3,"MUNICIPIUL FOCŞANI",174744,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:29:40",1413,1397,2,14,0,637,623,0,14,0,609,28,1540,903,220,15,24,226,55,69
41,VRANCEA,"BIBLIOTECA ORĂȘENEASCĂ ”ANA GEORGESCU”",85,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:18",1453,1437,4,4,8,758,746,0,4,8,735,23,1617,859,165,11,20,434,56,49
41,VRANCEA,"CAMIN CULTURAL",119,BROŞTENI,175466,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:30:21",1371,1358,3,6,4,806,795,1,6,4,756,50,1495,689,325,10,16,317,60,28
41,VRANCEA,"CAMIN CULTURAL",291,STRĂOANE,177799,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:22",771,766,0,4,1,426,421,0,4,1,416,10,841,415,57,5,11,214,79,50
41,VRANCEA,"CĂMIN CULTURAL",128,CÂRLIGELE,175732,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:44:19",1115,1083,1,6,25,574,543,0,6,25,551,22,1210,636,82,3,15,402,33,16
41,VRANCEA,"CĂMIN CULTURAL",107,BILIEŞTI,178929,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 22:55:09",1071,1047,1,17,6,623,600,0,17,6,588,35,1157,534,325,1,20,189,25,28
41,VRANCEA,"CĂMIN CULTURAL",106,BILIEŞTI,178929,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:17:43",1025,994,2,22,7,592,563,0,22,7,561,29,1108,516,290,4,10,193,27,37
41,VRANCEA,"CAMIN CULTURAL CALIENII-VECHI",224,NĂNEŞTI,176855,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:45:17",514,477,0,7,30,269,232,0,7,30,252,17,554,285,64,0,5,147,8,28
41,VRANCEA,"CAMIN CULTURAL CIORASTI",136,CIORĂŞTI,175590,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:08:15",655,647,0,1,7,326,318,0,1,7,295,31,714,388,210,5,8,47,22,3
41,VRANCEA,"CAMIN CULTURAL DUMBRAVENI",152,DUMBRĂVENI,175938,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:41:04",1662,1641,1,8,12,925,905,0,8,12,867,58,1814,889,284,4,25,469,64,21
41,VRANCEA,"CĂMIN CULTURAL FARAOANELE",333,VÂRTEŞCOIU,178689,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 08:37:29",980,962,0,6,12,559,541,0,6,12,525,34,1071,512,47,4,19,430,15,10
41,VRANCEA,"CĂMIN CULTURAL GOLEŞTI",176,GOLEŞTI,174824,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:05:21",1621,1608,1,2,10,771,761,0,2,8,750,21,1785,1014,140,12,37,382,93,86
41,VRANCEA,"CAMIN CULTURAL NANESTI",222,NĂNEŞTI,176855,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:09:34",984,928,0,6,50,571,515,0,6,50,549,22,1077,506,306,3,4,177,27,32
41,VRANCEA,"CĂMIN CULTURAL NEICU",99,"ORAŞ PANCIU",175055,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:22:20",505,498,1,6,0,248,242,0,6,0,231,17,553,305,60,2,11,99,36,23
41,VRANCEA,"CAMIN CULTURAL PĂULEȘTI",236,PĂULEŞTI,178910,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:14:39",583,570,0,2,11,377,364,0,2,11,344,33,640,263,109,0,3,181,9,42
41,VRANCEA,"CAMIN CULTURAL PAUNESTI",242,PĂUNEŞTI,177236,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:00:29",1079,1073,0,6,0,470,464,0,6,0,428,41,1169,700,209,60,7,72,46,34
41,VRANCEA,"CAMIN CULTURAL POIANA CRISTEI, PRIMARIA COMUNEI POIANA CRISTEI",247,"POIANA CRISTEI",177263,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 10:28:31",944,908,0,10,26,639,603,0,10,26,556,83,1024,385,91,6,15,297,49,98
41,VRANCEA,"CAMIN CULTURAL PRAHUDA",235,PALTIN,177101,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:48:55",420,411,0,1,8,262,253,0,1,8,252,10,458,196,80,1,6,154,10,1
41,VRANCEA,"CAMIN CULTURAL(SALA FESTIVITATI)",105,BÂRSEŞTI,175224,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:50",1145,1056,0,42,47,786,697,0,42,47,761,25,1216,430,363,2,11,334,37,14
41,VRANCEA,"CĂMIN CULTURAL SAT SPINEȘTI",357,VRÂNCIOAIA,178750,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 09:09:01",599,570,0,4,25,337,308,0,4,25,320,17,656,319,42,3,4,255,7,9
41,VRANCEA,"CĂMIN CULTURAL TĂTĂRANU",300,TĂTĂRANU,177986,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:45:01",1115,1071,0,9,35,558,514,0,9,35,528,30,1219,661,98,0,9,356,23,42
41,VRANCEA,"CĂMIN CULTURAL VERDEA",262,RĂCOASA,177405,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:34",556,540,1,3,12,336,320,1,3,12,300,36,607,271,45,1,7,159,78,10
41,VRANCEA,"CAMIN CULTURAL VIRTESCOIU",331,VÂRTEŞCOIU,178689,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:54:48",1275,1263,2,2,8,666,655,1,2,8,631,35,1401,735,101,3,33,401,56,37
41,VRANCEA,"CAMINUL CULTURAL",117,BORDEŞTI,175439,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-17 21:05:49",972,929,0,12,31,582,539,0,12,31,555,27,1049,467,187,8,24,223,32,81
41,VRANCEA,"CAMINUL CULTURAL",190,HOMOCEA,176445,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:05:15",1684,1658,0,7,19,466,440,0,7,19,452,14,1840,1374,327,10,42,53,17,3
41,VRANCEA,"CAMINUL CULTURAL",194,HOMOCEA,176445,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:36:40",995,979,0,3,13,514,498,0,3,13,494,20,1093,579,289,21,41,99,39,5
41,VRANCEA,"CĂMINUL CULTURAL",283,"SLOBOZIA CIORĂŞTI",177726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:16:44",1069,1029,4,6,30,558,521,1,6,30,532,26,1166,608,65,5,40,347,55,20
41,VRANCEA,"CĂMINUL CULTURAL BOGZA",274,SIHLEA,177600,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 11:45:20",669,645,0,9,15,300,276,0,9,15,284,16,729,429,161,2,4,94,14,9
41,VRANCEA,"CAMINUL CULTURAL BUDESTI",149,COTEŞTI,175885,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 20:08:14",1476,1443,1,5,27,830,797,1,5,27,782,48,1621,791,151,8,25,274,123,201
41,VRANCEA,"CĂMINUL CULTURAL CÂNDEȘTI",153,DUMBRĂVENI,175938,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:50:10",1147,1120,2,13,12,643,617,1,13,12,619,24,1237,594,200,10,32,319,48,10
41,VRANCEA,"CĂMINUL CULTURAL ”DIMITRIE CANTEMIR”",210,MERA,176686,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:18:35",1064,1034,1,6,23,683,653,1,6,23,650,33,959,276,343,8,11,240,42,6
41,VRANCEA,"CĂMINUL CULTURAL HĂULIȘCA",238,PĂULEŞTI,178910,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:16:48",524,514,0,3,7,331,321,0,3,7,308,23,573,242,88,6,2,180,21,11
41,VRANCEA,"CĂMINUL CULTURAL „NICOLAE CIORĂSCU” GUGEŞTI",180,GUGEŞTI,176301,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:01:12",1594,1581,0,2,11,695,682,0,2,11,663,32,1743,1048,82,3,15,477,57,29
