precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PEIU VLAD-PANTILIMON-UNIUNEA SALVAȚI ROMÂNIA-voturi","APETREI GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","APOPEI VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","CHELARU ŞTEFAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DIDILĂ ELENA-PARTIDUL S.O.S. ROMÂNIA-voturi","PREDA NECULAI-PARTIDUL MIȘCAREA POPULARĂ-voturi","VRÎNCEANU MARIA-voturi"
29,NEAMŢ,"CĂMINUL CULTURAL LOC.BLEBEA",145,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:05:32",670,662,0,8,0,356,348,0,8,0,344,12,700,344,25,136,131,23,20,3,6
29,NEAMŢ,"CLUBUL COPIILOR",142,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:35",1754,1743,1,7,3,790,780,0,7,3,772,18,1900,1110,65,222,344,35,37,27,42
29,NEAMŢ,"COLEGIUL NAŢIONAL ”ŞTEFAN CEL MARE”, CORP A, SALA 1",141,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:13:41",1901,1891,2,8,0,925,917,0,8,0,898,27,2100,1175,75,279,316,48,31,83,66
29,NEAMŢ,"COLEGIUL NAŢIONAL ”ŞTEFAN CEL MARE”, CORP B, SALA 1",139,"ORAŞ TÂRGU-NEAMŢ",121055,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:47:42",1591,1585,4,2,0,628,626,0,2,0,610,18,1714,1086,39,183,250,30,32,41,35
29,NEAMŢ,"COLEGIUL NAŢIONAL ”ŞTEFAN CEL MARE”, CORP B, SALA 2 (FOSTA SECŢIE DE LA CASA CULTURII)",140,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:53:52",1567,1562,1,4,0,703,699,0,4,0,680,23,1700,997,48,232,283,29,14,39,35
29,NEAMŢ,"COLEGIUL TEHNIC ”ION CREANGĂ”, CORP B",144,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:13:05",1804,1798,0,6,0,56,50,0,6,0,56,0,2000,1944,1,15,22,7,4,4,3
29,NEAMŢ,"COLEGIUL TEHNIC ”ION CREANGĂ”, CORP B",143,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:54:40",1698,1684,2,10,2,916,903,1,10,2,893,23,1815,899,49,222,427,59,39,45,52
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.2",136,"ORAŞ TÂRGU-NEAMŢ",121055,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:10",508,487,1,8,12,263,243,0,8,12,257,6,588,325,12,77,120,7,17,12,12
29,NEAMŢ,"LICEUL ”VASILE CONTA”",138,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:48:24",1593,1582,6,5,0,707,701,1,5,0,701,6,1700,993,58,218,272,42,36,37,38
29,NEAMŢ,"SALA DE SPORT PARC CETATE",135,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:37",807,800,1,6,0,426,420,0,6,0,411,15,900,474,19,102,206,18,24,28,14
29,NEAMŢ,"SCOALA GIMNAZIALĂ DOMNEASCĂ ”GRIGORE GHICA VODĂ”",137,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:39:45",1613,1604,2,7,0,777,770,0,7,0,766,11,1812,1035,59,217,332,28,33,44,53
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”, CORP A1, LOC. HUMULEŞTI",148,"ORAŞ TÂRGU-NEAMŢ",121055,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:30",474,470,0,4,0,202,198,0,4,0,197,5,500,298,8,62,99,9,10,5,4
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”, CORP A, LOC. HUMULEŞTI",147,"ORAŞ TÂRGU-NEAMŢ",121055,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:46:06",1656,1651,0,3,2,783,778,0,3,2,745,22,1833,1050,54,240,293,64,38,39,17
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”, CORP B, LOC. HUMULEŞTI",146,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:54:55",1624,1618,1,4,1,827,822,0,4,1,797,30,1800,973,42,196,373,77,47,39,23
