precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZABAN EDWIN-ALEXANDRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PERA FLORIN-FABIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","CRĂCIUN DORIN-TITEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIOROGAR CRISTINA-DENISA-PARTIDUL NAȚIONAL LIBERAL-voturi"
2,ARAD,"CENTRU NAȚIONAL DE INFORMARE ȘI PROMOVARE TURISTICĂ LIPOVA",136,"ORAŞ LIPOVA",9574,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:07",1204,1186,5,13,0,638,625,0,13,0,623,15,1360,722,44,291,28,260
2,ARAD,"CLĂDIRE PAROHIA ORTODOXĂ LIPOVA",135,"ORAŞ LIPOVA",9574,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:28",1014,998,2,7,7,543,529,0,7,7,517,26,1300,757,35,213,23,246
2,ARAD,"CLĂDIRE PAROHIA ORTODOXĂ ȘOIMOȘ",140,"ORAŞ LIPOVA",9574,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:05",673,658,4,10,1,385,374,0,10,1,362,23,732,347,10,126,13,213
2,ARAD,"CLĂDIRE PAROHIA ROMANO-CATOLICĂ LIPOVA",134,"ORAŞ LIPOVA",9574,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:59:00",1068,1043,5,16,4,571,551,0,16,4,550,21,1150,579,39,194,22,295
2,ARAD,"LICEUL ATANASIE MARIENESCU",132,"ORAŞ LIPOVA",9574,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:15:07",820,807,3,9,1,429,419,0,9,1,420,9,900,471,18,217,23,162
2,ARAD,"LICEUL ATANASIE MARIENESCU",139,"ORAŞ LIPOVA",9574,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:25:15",944,927,5,3,9,447,434,1,3,9,426,21,1042,595,36,209,18,163
2,ARAD,"LICEUL SEVER BOCU (GRĂDINIŢA P.P. LIPOVA)",137,"ORAŞ LIPOVA",9574,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:14:39",1175,1165,0,7,3,565,555,0,7,3,549,16,1290,725,35,240,17,257
2,ARAD,"SEDIU AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ RADNA",138,"ORAŞ LIPOVA",9574,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:15",1039,1027,4,4,4,490,482,0,4,4,489,1,1140,650,13,308,9,159
2,ARAD,"SEDIUL ASOCIAŢIA CARITAS BANAT SANCTUS GERHARDUS LIPOVA",133,"ORAŞ LIPOVA",9574,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:18:04",1126,1114,2,7,3,618,608,0,7,3,601,17,1230,612,39,270,32,260
