precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
33,SĂLAJ,"CAMIN CULTURAL PRIA",110,CIZER,140547,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:27:30",380,316,0,58,6,275,211,0,58,6,266,3,382,107,24,141,67,10,6,18
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ CIZER",108,CIZER,140547,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:10:03",1350,1266,1,70,13,907,824,0,70,13,871,36,1350,443,56,282,315,135,50,33
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ PLESCA",109,CIZER,140547,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:08:39",176,160,0,11,5,102,86,0,11,5,101,1,200,98,38,22,28,10,2,1
