precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HOREA AUREL-PARTIDUL SOCIAL DEMOCRAT-voturi","HARAPAŞCU ILIE-SORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","PANEŞIU OCTAVIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”DEMIAN NECHITI”",147,"ILVA MICĂ",33364,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:52",1389,1352,0,0,37,843,806,0,0,37,822,21,1500,657,727,69,26
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 2",146,"ILVA MICĂ",33364,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:02:00",1261,1225,1,5,30,684,649,0,5,30,668,16,1334,650,571,62,35
