county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","ANGHEL DĂNUŢ-voturi","ANGHEL DĂNUŢ-mandate-faza-1","ANGHEL DĂNUŢ-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","CĂLUGĂRESCU ROBERT-CONSTANTIN-voturi","CĂLUGĂRESCU ROBERT-CONSTANTIN-mandate-faza-1","CĂLUGĂRESCU ROBERT-CONSTANTIN-mandate-faza-2","UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA-voturi","UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA-mandate-faza-2","CIOBANU ILIE-voturi","CIOBANU ILIE-mandate-faza-1","CIOBANU ILIE-mandate-faza-2","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-mandate-faza-1","PARTIDUL ROMÂNIA ÎN ACȚIUNE-mandate-faza-2","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-1","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-2","VASILE SORIN-voturi","VASILE SORIN-mandate-faza-1","VASILE SORIN-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","RADU IOANA-voturi","RADU IOANA-mandate-faza-1","RADU IOANA-mandate-faza-2","CIOBOTARU MIHAI-GABRIEL-voturi","CIOBOTARU MIHAI-GABRIEL-mandate-faza-1","CIOBOTARU MIHAI-GABRIEL-mandate-faza-2","BĂDESCU GHEORGHE-voturi","BĂDESCU GHEORGHE-mandate-faza-1","BĂDESCU GHEORGHE-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","PETRUŞ ELENA-SORINA-voturi","PETRUŞ ELENA-SORINA-mandate-faza-1","PETRUŞ ELENA-SORINA-mandate-faza-2","NIŢU MARGARETA-voturi","NIŢU MARGARETA-mandate-faza-1","NIŢU MARGARETA-mandate-faza-2","ONCESCU ARISTOTEL-MARIUS-voturi","ONCESCU ARISTOTEL-MARIUS-mandate-faza-1","ONCESCU ARISTOTEL-MARIUS-mandate-faza-2"
16,DÂMBOVIŢA,ANINOASA,65379,1,FINAL,UAT,CL,CL_CE,"2024-06-10 15:03:40",5567,5474,1,46,46,3201,3108,1,46,46,3095,106,6221,3020,154,216,247,193,708,3,1,2011,10,0,181,0,1,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BĂLENI,66198,1,FINAL,UAT,CL,CL_CE,"2024-06-10 13:33:48",6754,6736,3,15,0,3852,3837,0,15,0,3680,172,7430,3578,184,257,294,217,1772,8,0,1490,6,1,165,0,0,96,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BĂRBULEŢU,66223,1,FINAL,UAT,CL,CL_CE,"2024-06-10 04:59:44",1739,1737,0,2,0,946,944,0,2,0,887,59,1909,963,44,62,70,80,94,1,0,641,8,0,152,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BEZDEAD,66330,2,FINAL,UAT,CL,CL_CE,"2024-06-26 12:58:30",3555,3507,1,13,34,1883,1836,0,13,34,1832,51,3908,2025,91,128,146,134,1401,10,0,350,2,1,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BILCIUREŞTI,66401,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:50:50",1517,1441,2,45,29,1168,1092,2,45,29,1129,39,1616,448,56,79,90,97,218,2,0,678,6,1,181,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BRĂNEŞTI,66009,1,FINAL,UAT,CL,CL_CE,"2024-06-10 13:38:38",3469,3445,2,19,3,1882,1860,0,19,3,1819,63,3804,1922,90,127,145,132,336,2,1,1068,8,0,139,1,0,0,0,0,0,0,0,180,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BRANIŞTEA,66152,3,FINAL,UAT,CL,CL_CE,"2024-06-26 13:06:26",3350,3203,2,73,72,2597,2452,0,73,72,2524,73,3505,908,126,176,201,194,1299,6,1,1092,5,0,133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BREZOAELE,101341,2,FINAL,UAT,CL,CL_CE,"2024-06-12 18:13:30",2860,2764,2,48,46,2311,2217,0,48,46,2263,44,3076,765,113,158,181,165,788,4,1,1369,8,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BUCIUMENI,66438,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:11:03",3498,3418,3,7,70,1870,1792,1,7,70,1811,59,3851,1981,90,126,144,128,189,1,1,1333,10,0,152,1,0,97,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BUCŞANI,66474,2,FINAL,UAT,CL,CL_CE,"2024-06-27 11:30:02",5431,5353,5,27,46,3333,3260,0,27,46,3238,95,5919,2586,161,226,259,210,1386,6,1,1450,6,1,323,1,0,45,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
