precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RÁKOS RÉKA-UNIUNEA SALVAȚI ROMÂNIA-voturi","CORODAN VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","POP PETRICĂ-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
32,"SATU MARE","SCOALA GIMNAZIALA VAMA",330,VAMA,139330,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:16:53",1613,1603,0,5,5,805,795,0,5,5,773,32,1815,1010,26,558,189
32,"SATU MARE","ȘCOALA GIMNAZIALĂ VAMA",329,VAMA,139330,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:08:00",1788,1767,3,14,4,918,900,0,14,4,870,47,1900,982,13,530,327
