precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
9,BRĂILA,"CORP ANEXA PARTER",169,CAZASU,44560,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:57:26",1498,1486,0,11,1,795,783,0,11,1,767,28,1600,805,327,110,52,210,25,34,9
9,BRĂILA,"ȘCOALA GIMNAZIALĂ CAZASU",170,CAZASU,44560,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:34:50",1909,1868,5,24,12,1139,1103,0,24,12,1114,25,2068,929,546,119,29,330,39,43,8
