precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","FUIOREA ROXANA-voturi"
34,SIBIU,"GRADINITA NR,1 PROGRAM NORMAL",162,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:50:10",1573,1560,1,7,5,844,832,0,7,5,807,37,1826,982,73,344,231,15,131,13
34,SIBIU,"GRADINITA NR.3 PROGRAM PRELUNGIT",159,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:26:54",1413,1405,0,8,0,654,646,0,8,0,629,25,1600,946,127,225,175,32,61,9
34,SIBIU,"LICEUL ”GHEORGHE LAZĂR”, AVRIG",163,"ORAŞ AVRIG",144054,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:31",1240,1230,0,9,1,569,559,0,9,1,558,11,1330,761,72,267,120,18,78,3
34,SIBIU,"LICEUL ”GHEORGHE LAZĂR”, AVRIG",164,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:41:04",1344,1335,3,6,0,685,679,0,6,0,662,15,1440,763,52,286,196,16,91,21
34,SIBIU,"LICEUL ”TEHNOLOGIC MÂRŞA",167,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:58:41",1254,1248,3,3,0,580,577,0,3,0,560,20,1350,770,78,250,69,15,43,105
34,SIBIU,"LICEUL ”TEHNOLOGIC MÂRŞA",168,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:07:33",1281,1277,0,4,0,573,569,0,4,0,556,14,1350,780,43,270,81,14,47,101
34,SIBIU,"SCOALA GIMNAZIALA AVRIG",160,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:51:11",1478,1471,5,2,0,750,748,0,2,0,729,21,1620,870,126,323,169,17,89,5
34,SIBIU,"ŞCOALA GIMNAZIALA AVRIG",161,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:52:49",1182,1155,3,18,6,673,665,0,2,6,652,21,1300,627,104,266,172,18,82,10
34,SIBIU,"ŞCOALA PRIMARĂ GLÎMBOACA",166,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:28:56",205,197,0,8,0,111,103,0,8,0,103,8,219,108,20,39,24,10,6,4
34,SIBIU,"ŞCOLA GIMNAZIALĂ BRADU",165,"ORAŞ AVRIG",144054,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:49:24",899,892,4,3,0,418,415,0,3,0,392,26,1000,582,68,182,83,13,42,4
34,SIBIU,"ŞCOLA PRIMARĂ SĂCĂDATE",169,"ORAŞ AVRIG",144054,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:15:48",488,482,0,5,1,242,236,0,5,1,235,7,538,296,32,100,49,7,39,8
