precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
3,ARGEŞ,"CENTRUL AFTER SCHOOL MOZĂCENII VALE",227,BÂRLA,14450,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:45:02",873,836,0,30,7,567,530,0,30,7,557,10,930,363,18,406,24,109
3,ARGEŞ,"ŞCOALA BĂDEŞTI",225,BÂRLA,14450,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:09:28",256,254,0,2,0,177,175,0,2,0,170,7,302,125,30,106,6,28
3,ARGEŞ,"ŞCOALA CU CLASELE I-VIII BÂRLA",224,BÂRLA,14450,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:46:30",788,758,0,22,8,501,471,0,22,8,474,27,850,349,45,165,49,215
3,ARGEŞ,"ŞCOALA MÎNDRA",226,BÂRLA,14450,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:17:03",615,598,0,7,10,362,345,0,7,10,340,22,650,288,15,181,27,117
3,ARGEŞ,"ŞCOALA URLUIENI",228,BÂRLA,14450,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:39:13",962,926,0,28,8,607,571,0,28,8,584,23,1000,393,25,304,61,194
