precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UŞURELU IONEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","AVRĂMIŢĂ MIHAIL-LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","VASILE ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","TRIFA STELIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"ŞCOALA GENERALA ANDRĂŞEŞTI",95,ANDRĂŞEŞTI,92872,1,PROV,PRCNCT,P,P_SV,"2024-06-10 15:16:40",1413,1370,2,23,18,829,788,0,23,18,813,16,1500,668,63,275,429,46
23,IALOMIŢA,"ŞCOALA ORBOEŞTI",96,ANDRĂŞEŞTI,92872,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:05",278,257,1,7,13,178,158,0,7,13,172,4,309,132,22,54,92,4
