precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ONOIU BOGDAN-PARTIDUL SOCIAL DEMOCRAT-voturi","STAICU ALIN-REMUS-PARTIDUL NAȚIONAL LIBERAL-voturi"
31,PRAHOVA,"LICEUL TEHNOLOGIC CERAŞU",368,CERAŞU,132574,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:56:07",1216,1181,0,11,24,828,794,0,11,23,793,35,1300,472,254,539
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ SLON",370,CERAŞU,132574,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:52:17",906,890,0,1,15,628,612,0,1,15,592,35,1000,373,104,488
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ SLON",369,CERAŞU,132574,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:37",748,732,0,0,16,546,530,0,0,16,532,14,800,254,109,423
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ VALEA BORULUI",371,CERAŞU,132574,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:59:30",665,644,0,2,19,473,452,0,2,19,459,14,729,256,129,330
