precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BÎRJOVEANU MARCEL-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","LUPU SORIN-IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","PLOŞNIŢĂ IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NECHITA CONSTANTIN-PARTIDUL S.O.S. ROMÂNIA-voturi","HAVRICI ADRIAN-MARCEL-FORȚA DREPTEI-voturi"
29,NEAMŢ,"FOSTA SCOALA CU CLASELE I-IV SATUL HOCIUNGI",332,MOLDOVENI,123228,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:38:23",641,608,0,0,33,418,385,0,0,33,392,26,700,282,210,24,80,3,75
29,NEAMŢ,"SCOALA GIMNAZIALA SATUL MOLDOVENI",331,MOLDOVENI,123228,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:02",986,958,0,2,26,617,589,0,2,26,560,29,1100,483,267,75,8,12,198
