precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"CĂMIN CULTURAL LAZURI",411,VÂRFURILE,12689,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:21:16",585,570,2,3,10,382,367,2,3,10,374,8,640,258,146,35,109,79,1,4
2,ARAD,"CĂMINUL CULTURAL VÎRFURILE",409,VÂRFURILE,12689,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:23:24",923,888,4,10,21,556,524,1,10,21,548,8,985,429,243,43,121,134,3,4
2,ARAD,"ŞCOALA GENERALĂ AVRAM IANCU",410,VÂRFURILE,12689,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:45",593,559,5,7,22,439,410,0,7,22,429,10,650,211,95,11,67,212,13,31
