precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHALCA VASILE-STEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","GOLBAN SIMION-PARTIDUL SOCIAL DEMOCRAT-voturi","NECHITA GRIGORE-DUMITRU-UNIUNEA SALVAȚI ROMÂNIA-voturi","MARC MARCEL DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",288,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:11",582,562,2,8,10,292,274,0,8,10,284,7,604,313,215,30,23,16
26,MARAMUREŞ,"CĂMINUL CULTURAL",289,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:17:55",70,64,0,6,0,48,42,0,6,0,47,1,100,52,40,2,4,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",295,COPALNIC-MĂNĂŞTUR,107733,2,PART,PRCNCT,P,P_SV,"2024-06-13 16:01:08",219,213,0,6,0,162,156,0,6,0,158,4,300,138,67,6,79,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",287,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:19:05",286,283,0,3,0,197,194,0,3,0,195,2,300,103,146,28,8,13
26,MARAMUREŞ,"CĂMINUL CULTURAL",285,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:42:36",793,778,0,7,8,506,491,0,7,8,490,16,800,294,394,41,41,14
26,MARAMUREŞ,"CĂMINUL CULTURAL",293,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:31:30",273,262,0,4,7,189,178,0,4,7,181,7,300,112,138,15,24,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",291,COPALNIC-MĂNĂŞTUR,107733,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:20:33",704,701,0,0,3,383,380,0,0,3,361,21,800,417,290,39,17,15
26,MARAMUREŞ,"CĂMINUL CULTURAL",286,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:38",591,583,0,4,4,365,357,0,4,4,343,22,600,234,254,54,15,20
26,MARAMUREŞ,"CĂMINUL CULTURAL",292,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:39:39",392,378,1,9,4,259,246,0,9,4,253,6,399,140,173,56,11,13
26,MARAMUREŞ,ŞCOALA,290,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:30",234,226,0,6,2,126,118,0,6,2,122,4,300,174,96,17,4,5
26,MARAMUREŞ,ŞCOALA,294,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:02:34",301,294,0,6,1,196,189,0,6,1,194,2,300,104,164,14,13,3
26,MARAMUREŞ,"ȘCOALA VAD",296,COPALNIC-MĂNĂŞTUR,107733,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:09:43",286,278,0,8,0,201,193,0,8,0,198,3,300,99,96,87,1,14
