precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GIUBEGA GHEORGHE-FLORIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","FODOR ASTRID-CORA-FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","BIBU ADRIAN-COSMIN-PARTIDUL NAȚIONAL LIBERAL-voturi","SUCIU SEBASTIAN-ILIE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ZARĂ IOAN-ŞTEFAN-PARTIDUL ECOLOGIST ROMÂN-voturi","FARAON CIPRIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","MARINESCU CRISTIAN-MIHAI-PARTIDUL PATRIOȚILOR-voturi","CIBU DEACONU RUXANDRA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GĂVOZDEA LUCIAN-ALEXANDRU-voturi"
34,SIBIU,"CASA CORPULUI DIDACTIC",48,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:24:56",1416,1389,16,11,0,658,647,0,11,0,643,15,1551,893,41,273,49,22,7,8,17,76,150
34,SIBIU,"COLEGIU ECONOMIC GEORGE BARIŢIU",66,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:56:56",1127,1119,3,5,0,447,442,0,5,0,434,13,1250,803,43,169,51,20,6,7,10,40,88
34,SIBIU,"COLEGIU ECONOMIC GEORGE BARIŢIU",67,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:07:38",1239,1227,3,9,0,492,483,0,9,0,484,8,1367,875,42,171,54,33,15,5,13,47,104
34,SIBIU,"COLEGIUL AGRICOL DANIIL POPOVICI BARCIANU SIBIU",47,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:59:39",1112,985,56,24,47,478,407,0,24,47,464,14,1152,674,34,158,53,37,12,4,13,54,99
34,SIBIU,"COLEGIUL ECONOMIC GEORGE BARIŢIU, SIBIU",68,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:24:26",1222,1203,12,7,0,585,578,0,7,0,572,13,1340,755,30,226,72,30,14,6,12,62,120
34,SIBIU,"COLEGIUL NAŢIONAL GHEORGHE LAZĂR SIBIU",39,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:44:44",1123,1084,27,12,0,420,408,0,12,0,412,8,1222,794,31,132,42,36,6,15,10,38,102
34,SIBIU,"COLEGIUL NAŢIONAL OCTAVIAN GOGA CU STRUCTURĂ ŞCOALA CU CLASELE I-VIII NR. 15",44,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:33:30",1088,1075,11,2,0,418,414,2,2,0,406,12,1213,795,17,164,50,22,4,7,7,44,91
34,SIBIU,"COLEGIUL NAŢIONAL OCTAVIAN GOGA SIBIU",43,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:42",878,860,10,8,0,339,331,0,8,0,335,4,977,638,31,104,36,23,9,5,4,44,79
34,SIBIU,"COLEGIUL NAŢIONAL PEDAGOGIC ANDREI ŞAGUNA",100,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:26:18",1218,1207,3,8,0,501,493,0,8,0,490,11,1334,833,65,183,52,21,11,12,6,57,83
34,SIBIU,"COLEGIUL NAŢIONAL PEDAGOGIC ANDREI ŞAGUNA",101,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:25",1115,1104,4,7,0,497,490,0,7,0,489,8,1221,724,57,206,34,17,6,6,11,44,108
34,SIBIU,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ TEREZIANUM SIBIU",20,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:45",1368,1355,2,11,0,607,596,0,11,0,601,6,1495,888,27,301,68,27,7,9,15,51,96
34,SIBIU,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ TEREZIANUM SIBIU",19,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:56:58",1436,1428,2,6,0,637,631,0,6,0,628,9,1580,943,45,250,56,41,11,12,11,61,141
34,SIBIU,"COLEGIUL TEHNIC ENERGETIC",73,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:54:01",1459,1452,0,7,0,639,632,0,7,0,628,11,1620,981,42,255,53,35,10,16,13,73,131
34,SIBIU,"COLEGIUL TEHNIC ENERGETIC",74,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:38:45",1174,1162,1,11,0,410,399,0,11,0,391,8,1316,915,42,164,33,29,6,2,6,33,76
34,SIBIU,"COLEGIUL TEHNIC ENERGETIC",76,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:24:20",1355,1351,0,4,0,468,464,0,4,0,465,3,1490,1022,59,169,69,24,14,8,10,39,73
34,SIBIU,"COLEGIUL TEHNIC ENERGETIC",75,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:37:34",1420,1414,1,5,0,538,533,0,5,0,522,16,1563,1025,49,207,63,35,5,5,14,65,79
34,SIBIU,"COLEGIUL TEHNIC INDEPENDENŢA",18,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:19:45",1211,1203,0,8,0,483,475,0,8,0,474,9,1340,857,35,191,52,44,11,6,14,43,78
34,SIBIU,"COLEGIUL TEHNIC INDEPENDENŢA SIBIU",42,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:27:11",1054,1037,11,6,0,373,367,0,6,0,370,3,1165,792,42,134,42,29,14,10,7,34,58
34,SIBIU,"FACULTATEA DE INGINERIE",65,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:55:01",1120,1100,9,11,0,490,479,0,11,0,473,17,1244,754,39,203,45,16,11,4,10,54,91
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ELEFĂNŢELUL CURIOS",99,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:48:07",1296,1288,0,8,0,498,490,0,8,0,479,19,1418,920,49,183,46,32,10,8,11,51,89
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 17",34,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:27:36",941,936,0,4,1,326,321,0,4,1,317,9,1041,715,33,115,33,33,4,10,12,23,54
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",54,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:49",1507,1466,36,5,0,737,732,0,5,0,719,18,1655,918,33,276,96,31,11,9,9,103,151
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",57,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:36:53",988,982,0,6,0,438,432,0,6,0,426,12,1100,662,36,189,47,20,5,14,15,36,64
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",55,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:38",1405,1389,12,4,0,709,703,2,4,0,690,17,1550,843,55,277,99,40,3,12,17,54,133
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",56,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:59:17",1732,1705,16,10,1,848,836,1,10,1,840,8,1918,1070,60,302,128,37,9,12,24,87,181
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.29",84,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:04",1070,1066,0,4,0,448,444,0,4,0,435,13,1177,712,47,174,41,39,6,1,18,49,60
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.33",87,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:26:41",1114,1105,6,3,0,436,433,0,3,0,426,10,1225,789,40,156,51,31,7,1,10,46,84
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 37",35,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:56:29",1228,1204,16,8,0,454,446,0,8,0,436,18,1345,891,39,184,51,36,8,8,8,36,66
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 42",102,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:38:28",1238,1230,4,4,0,549,545,0,4,0,529,10,1364,825,55,203,61,28,6,9,8,56,103
