precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
27,MEHEDINŢI,"ȘCOALA PROFESIONALĂ CORLĂŢEL",151,CORLĂŢEL,111417,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:06:37",619,564,2,26,27,481,428,0,26,27,461,20,682,201,369,17,68,7
27,MEHEDINŢI,"ȘCOALA PROFESIONALĂ VALEA ANILOR",152,CORLĂŢEL,111417,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:54:22",441,420,0,6,15,259,238,0,6,15,241,18,477,218,201,6,25,9
