precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PANDURU ION-DANIEL-voturi"
20,GORJ,"ŞCOALA GENERALĂ BAIA DE FIER",134,"BAIA DE FIER",78711,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:37:53",1430,1418,0,4,8,905,893,0,4,8,850,55,1600,695,107,140,101,339,39,36,88
20,GORJ,"ŞCOALA GENERALĂ BAIA DE FIER",133,"BAIA DE FIER",78711,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:34:34",1402,1383,0,9,10,917,898,0,9,10,884,33,1500,583,121,151,100,324,27,49,112
20,GORJ,"ŞCOALA GENERALĂ CERNĂDIA",135,"BAIA DE FIER",78711,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 20:42:04",643,631,0,7,5,403,391,0,7,5,396,7,713,310,31,85,10,174,5,56,35
