precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi"
28,MUREŞ,"CĂMINUL CULTURAL",332,CRISTEŞTI,114355,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:00",805,798,0,1,6,394,387,0,1,6,361,33,893,499,12,308,14,5,16,2,4
28,MUREŞ,"CĂMINUL CULTURAL CRISTEȘTI",329,CRISTEŞTI,114355,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:44:01",1437,1417,5,3,12,767,752,0,3,12,750,17,1580,813,117,329,71,40,99,62,32
28,MUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL CRISTEŞTI",331,CRISTEŞTI,114355,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:21:00",1422,1412,1,5,4,763,754,0,5,4,713,50,1560,797,111,293,110,20,55,101,23
28,MUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT CRISTEȘTI",330,CRISTEŞTI,114355,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:54:16",1268,1265,2,1,0,693,692,0,1,0,681,12,1400,707,95,222,73,45,129,82,35
