precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COCERJUC ALEX-DORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","LAZA MARIANA-PARTIDUL SOCIAL DEMOCRAT-voturi","NEAGA CĂLIN-DĂNUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
5,BIHOR,"CAMINUL CULTURAL",541,SÂMBĂTA,31057,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:14:30",304,256,1,29,18,243,195,1,29,18,240,3,298,55,141,65,34
5,BIHOR,"CAMINUL CULTURAL",542,SÂMBĂTA,31057,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:04:17",118,98,0,14,6,91,72,0,14,5,87,4,115,24,37,49,1
5,BIHOR,"CAMINUL CULTURAL",545,SÂMBĂTA,31057,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:06:05",118,96,0,14,8,89,67,0,14,8,87,2,118,29,40,40,7
5,BIHOR,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 ZĂVOIU",546,SÂMBĂTA,31057,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:20:54",237,178,0,46,13,200,142,0,46,12,199,1,205,5,71,125,3
5,BIHOR,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 OGEȘTI",543,SÂMBĂTA,31057,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:48:25",170,155,0,4,11,141,126,0,4,11,137,2,184,45,82,47,8
5,BIHOR,"GRĂDINIȚA CU PROGRAM NORMAL NR.4 ROGOZ",544,SÂMBĂTA,31057,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:07:24",241,214,0,13,14,186,159,0,13,14,185,1,241,55,83,99,3
