precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POŞIRCĂ MARIA-PARTIDUL SOCIAL DEMOCRAT-voturi","CĂLIN MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi","JOIŢA ANDREI-SERGIU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"CĂMIN CULTURAL",423,VLĂDENI,179711,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:05",997,992,1,1,3,516,512,0,1,3,498,18,1090,574,312,112,74
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”STAN ȘTEFAN”",422,VLĂDENI,179711,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:17:57",1268,1258,1,3,6,723,714,0,3,6,712,11,1385,662,506,96,110
