precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TRIFU MARIAN-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","POMOJNICU GEORGE-PARTIDUL SOCIAL DEMOCRAT-voturi","STOICA COSTINEL-CODRUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ SMÎRDIOASA",289,SMÂRDIOASA,154380,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:00:42",1460,1422,2,11,25,967,931,0,11,25,948,19,1584,609,361,536,51
36,TELEORMAN,"ŞCOALA PRIMARĂ ŞOIMU",290,SMÂRDIOASA,154380,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:25",321,310,0,8,3,223,212,0,8,3,216,7,340,117,109,82,25
