precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RĂDOI CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","MARIN ION-PARTIDUL SOCIAL DEMOCRAT-voturi"
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV GOANŢA",120,BRANIŞTEA,114060,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:17:25",377,337,0,11,29,246,206,0,11,29,238,8,405,159,72,166
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ BRANIȘTEA",119,BRANIŞTEA,114060,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:06:07",1070,954,0,28,88,723,607,0,28,88,720,3,1143,420,146,574
