precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
23,IALOMIŢA,"ŞCOALA GENERALĂ CIOCÂRLIA",121,CIOCÂRLIA,100709,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:58:42",624,578,0,28,18,415,369,0,28,18,396,19,661,246,7,35,71,254,22,1,3,3
23,IALOMIŢA,"ŞCOALA GENERALĂ COSERENI",135,COŞERENI,102240,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:17:08",1250,1229,0,11,10,863,842,0,11,10,830,33,1350,487,109,118,219,289,48,4,39,4
23,IALOMIŢA,"ŞCOALA GENERALĂ CU CLASELE I-IV FIRBINŢI DE JOS",78,"ORAŞ FIERBINŢI-TÂRG",102749,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:17:57",875,858,0,12,5,583,566,0,12,5,557,26,950,367,3,33,136,336,15,2,28,4
23,IALOMIŢA,"ŞCOALA GENERALĂ CU CLASELE I-IV FIRBINŢI DE SUS",79,"ORAŞ FIERBINŢI-TÂRG",102749,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:35:40",1487,1433,0,23,31,972,918,0,23,31,902,30,1613,681,9,50,200,573,19,1,47,3
23,IALOMIŢA,"ŞCOALA GENERALĂ CU CLASELE I-IV RĂSIMNICEA",192,RĂDULEŞTI,101243,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:19:06",231,197,0,30,4,156,122,0,30,4,144,12,221,65,1,18,20,101,1,0,2,1
23,IALOMIŢA,"ŞCOALA GENERALĂ GHEORGHE LAZĂR",151,"GHEORGHE LAZĂR",93628,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:19:02",1024,979,7,3,35,594,554,2,3,35,565,29,1120,526,2,58,40,438,20,2,4,1
23,IALOMIŢA,"ŞCOALA GENERALĂ GHEORGHE LAZĂR",152,"GHEORGHE LAZĂR",93628,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:22:30",760,722,0,8,30,460,422,0,8,30,433,27,838,378,10,67,38,290,17,3,7,1
23,IALOMIŢA,"ŞCOALA GENERALĂ ION HELIADE RADULESCU",66,"MUNICIPIUL URZICENI",100683,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:19:11",1376,1372,0,4,0,639,635,0,4,0,623,16,1550,911,14,57,178,228,52,11,75,8
23,IALOMIŢA,"ŞCOALA GENERALĂ ION HELIADE RADULESCU",67,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:49:38",1148,1146,0,2,0,518,516,0,2,0,494,24,1300,782,6,39,136,203,40,8,53,9
23,IALOMIŢA,"ŞCOALA GENERALA LUCIU",160,"GURA IALOMIŢEI",180046,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:48:13",1065,1061,2,2,0,678,675,1,2,0,626,52,1104,426,10,174,206,211,14,0,11,0
23,IALOMIŢA,"ŞCOALA GENERALĂ MALU ROȘU",98,ARMĂŞEŞTI,100870,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:50:46",1092,1069,0,23,0,589,566,0,23,0,533,56,1173,584,7,63,30,349,24,1,54,5
23,IALOMIŢA,"ŞCOALA GENERALĂ NICOLEŞTI",175,MILOŞEŞTI,94045,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:00:43",308,302,0,0,6,178,172,0,0,6,159,19,400,222,1,7,19,115,14,1,1,1
23,IALOMIŢA,"ŞCOALA GENERALĂ NR. 1",181,MUNTENI-BUZĂU,94107,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:35:26",1456,1434,0,11,11,879,857,0,11,11,822,57,1600,721,10,169,226,343,16,7,48,3
23,IALOMIŢA,"ŞCOALA GENERALĂ NR. 2",182,MUNTENI-BUZĂU,94107,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 13:37:18",1222,1204,1,7,10,662,645,0,7,10,615,47,1327,665,6,148,120,248,24,7,50,12
23,IALOMIŢA,"ŞCOALA GENERALA TOVĂRĂŞIA",176,MILOŞEŞTI,94045,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:47:56",279,274,0,4,1,126,121,0,4,1,116,10,300,174,1,6,18,74,8,0,8,1
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ",113,BORĂNEŞTI,179784,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:05:23",566,551,0,7,8,401,386,0,7,8,369,32,620,219,4,44,192,79,6,1,42,1
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ",198,SĂLCIOARA,94330,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:20:26",859,792,1,27,39,661,595,0,27,39,616,45,900,239,7,215,71,301,4,4,2,12
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ",112,BORĂNEŞTI,179784,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:21:42",970,955,0,8,7,655,640,0,8,7,613,42,1060,405,11,72,432,51,12,1,34,0
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU ALDEA VOIEVOD” - CORP A (ȘCOALA NOUĂ)",93,ALEXENI,100852,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:21:24",871,798,1,28,44,609,537,0,28,44,563,46,929,320,6,32,302,202,11,0,10,0
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU ALDEA VOIEVOD” - CORP A (ȘCOALA NOUĂ)",94,ALEXENI,100852,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:39:45",1032,952,0,25,55,739,659,0,25,55,685,54,1100,361,3,68,306,273,22,1,11,1
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ” ALEXANDRU RĂDULESCU ” MĂRCULEŞTI",171,MĂRCULEŞTI,179980,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:16:47",1313,1260,1,22,30,838,786,0,22,30,763,75,1421,583,6,137,251,323,32,8,6,0
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”APOSTOL D. CULEA”",213,SUDIŢI,94535,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:05:32",852,816,0,18,18,660,624,0,18,18,615,27,914,254,7,62,262,248,21,2,13,0
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”APOSTOL D. CULEA”",212,SUDIŢI,94535,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:14:14",788,745,1,17,25,576,534,0,17,25,565,11,845,269,4,47,264,227,13,1,8,1
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”ARHIMANDRIT TEOFIL” BALACIU",103,BALACIU,92907,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:10",314,311,0,3,0,209,206,0,3,0,190,19,350,141,5,12,50,65,7,0,51,0
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”AUREL VLAICU”",45,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:54",1013,1013,0,0,0,502,502,0,0,0,484,18,1100,598,13,52,69,303,26,4,17,0
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ BĂRBULEŞTI",107,BĂRBULEŞTI,180064,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:18:02",1124,1124,0,0,0,297,297,0,0,0,285,12,1250,953,3,5,10,260,4,0,2,1
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ BĂRBULEŞTI",109,BĂRBULEŞTI,180064,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:23:55",1322,1322,0,0,0,327,327,0,0,0,317,10,1495,1168,5,20,5,282,5,0,0,0
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ BĂRBULEŞTI",106,BĂRBULEŞTI,180064,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:24:46",1044,1044,0,0,0,290,290,0,0,0,281,9,1150,860,3,9,4,260,5,0,0,0
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ BĂRBULEŞTI",108,BĂRBULEŞTI,180064,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:59:51",1137,1137,0,0,0,311,311,0,0,0,289,22,1200,889,2,6,5,273,2,0,0,1
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ BĂRCĂNEŞTI-CORP A",110,BĂRCĂNEŞTI,101056,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:32:21",1268,1224,2,37,5,887,844,1,37,5,798,89,1350,463,9,60,115,521,32,1,59,1
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ BORA",31,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:45:54",1028,1023,0,5,0,434,429,0,5,0,397,37,1586,1152,5,36,175,140,15,12,8,6
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ BORA",30,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:03:06",762,747,0,15,0,319,304,0,15,0,310,9,850,531,10,34,142,99,9,9,7,0
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ CIOCHINA",122,CIOCHINA,93101,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:11:41",1201,1172,3,24,2,744,718,0,24,2,687,22,1300,591,73,56,283,241,16,6,12,0
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ CIULNIȚA",125,CIULNIŢA,93156,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:03:51",986,962,2,16,6,622,600,0,16,6,595,27,1053,431,7,78,214,236,16,19,17,8
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ COCORA",129,COCORA,93209,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:14:16",775,743,0,9,23,542,510,0,9,23,484,27,850,308,7,27,36,313,8,0,92,1
23,IALOMIŢA,"SCOALA GIMNAZIALA CONSTANTIN GURGU NR. 1",159,"GURA IALOMIŢEI",180046,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:59:30",949,943,0,4,2,657,651,0,4,2,632,25,1060,403,32,273,92,174,13,1,39,8
23,IALOMIŢA,"SCOALA GIMNAZIALA ”CONSTANTIN STEFAN”",91,ALBEŞTI,92783,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:21:36",503,479,0,0,24,300,276,0,0,24,268,32,550,250,2,51,33,157,14,2,6,3
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”DIMITRIE CANTEMIR”",54,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:47:07",937,932,1,4,0,409,405,0,4,0,388,21,1000,591,22,41,55,213,22,1,31,3
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”DIMITRIE CANTEMIR”",52,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:41",1184,1176,0,8,0,538,530,0,8,0,496,42,1300,762,11,47,47,336,27,5,17,6
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”DIMITRIE CANTEMIR”",53,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:22:28",908,897,2,8,1,424,415,0,8,1,410,14,1000,576,5,41,73,246,13,4,27,1
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ DRIDU - CORP C1",138,DRIDU,102703,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:09:16",954,940,1,12,1,565,552,0,12,1,516,49,1008,443,9,65,39,368,21,1,13,0
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ FĂCĂENI - CLĂDIRE C1",142,FĂCĂENI,93575,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:40:34",1185,1161,2,7,15,669,647,0,7,15,633,36,1300,631,13,298,36,204,23,1,56,2
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ FĂCĂENI - CLĂDIRE C2",143,FĂCĂENI,93575,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 08:16:54",1579,1547,0,13,19,821,789,0,13,19,767,54,1700,879,9,424,40,233,26,1,31,3
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ FĂCĂENI - CLĂDIRE C3",144,FĂCĂENI,93575,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:24:44",912,888,2,9,13,519,496,1,9,13,479,40,1000,481,0,253,21,146,19,3,34,3
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”GEORGE VÂLSAN”",72,"ORAŞ AMARA",92836,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 23:17:07",1373,1363,0,5,5,697,687,0,5,5,675,19,1500,788,11,172,181,237,25,1,42,6
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”GEORGE VÂLSAN”",73,"ORAŞ AMARA",92836,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 23:46:48",1414,1406,0,4,4,712,704,0,4,4,673,38,1512,801,10,129,213,248,19,9,40,5
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”GEORGE VÂLSAN”- CORP C1",74,"ORAŞ AMARA",92836,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 00:34:10",1456,1450,0,5,1,727,721,0,5,1,702,25,1609,699,15,188,202,221,27,4,44,1
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ GHEORGHE DOJA SITUATĂ ÎN GHEORGHE DOJA",150,"GHEORGHE DOJA",93600,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:46:43",1063,1016,0,4,43,635,588,0,4,43,572,63,1172,537,2,45,98,394,14,4,13,2
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ GHEORGHE DOJA SITUATĂ ÎN GHEORGHE DOJA",149,"GHEORGHE DOJA",93600,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:23",1012,958,0,4,50,604,550,0,4,50,557,47,1116,512,4,51,99,378,15,1,6,3
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”GHEORGHE LAZĂR”",16,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 22:42:37",1371,1357,1,5,8,568,555,0,5,8,548,20,1500,932,21,117,144,187,39,24,9,7
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ ”GHEORGHE LAZĂR”",15,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:22:50",1472,1465,0,7,0,643,636,0,7,0,618,25,1600,957,22,64,148,259,23,55,46,1
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ GIURGENI",153,GIURGENI,93646,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:12:16",1089,1020,0,5,64,737,668,0,5,64,707,30,1189,452,12,75,121,438,31,1,28,1
