precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VÎRTOPEAN IONEL-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MERIAN NICU-LĂSCUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL DENSUȘ",354,DENSUŞ,89348,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:51:43",564,496,1,52,15,442,375,0,52,15,438,4,570,128,160,278
22,HUNEDOARA,"CĂMINUL CULTURAL PEȘTEANA",355,DENSUŞ,89348,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:19",312,282,4,18,8,239,210,3,18,8,235,4,290,51,80,155
22,HUNEDOARA,"CĂMINUL CULTURAL PEȘTENIȚA",356,DENSUŞ,89348,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:37:26",225,213,0,8,4,163,151,0,8,4,163,0,176,13,73,90
22,HUNEDOARA,"CĂMINUL CULTURAL POIENI",357,DENSUŞ,89348,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:32:22",81,48,0,24,9,81,48,0,24,9,80,1,90,9,63,17
22,HUNEDOARA,"CĂMINUL CULTURAL ȘTEI",358,DENSUŞ,89348,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:19:14",228,176,0,45,7,187,135,0,45,7,185,2,210,23,157,28
