precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIŞCAREA NOI, PLOIEŞTENII-voturi"
31,PRAHOVA,"CAMINUL CULTURAL FULGA DE JOS",427,FULGA,133394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:04:38",1204,1165,0,15,24,771,732,0,15,24,723,48,1285,514,457,178,30,12,12,17,17
31,PRAHOVA,"SCOALA GIMNAZIALA ”LAURENTIU FULGA”",428,FULGA,133394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:20:22",1324,1272,3,24,25,886,837,1,24,24,851,29,1380,500,510,215,27,31,4,60,4
