precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHALCEA SERGIU-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","THUMA HUBERT PETRU ŞTEFAN-ALIANȚA ELECTORALĂ PSD PNL-voturi","BOBEI VICTOR-HORIA-PARTIDUL S.O.S. ROMÂNIA-voturi","DANCĂ IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TĂNĂSESCU CLAUDIU-PARTIDUL ROMÂNIA MARE-voturi"
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR.3",157,CERNICA,101742,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:44:44",1272,1247,0,18,7,732,707,0,18,7,711,21,1400,668,62,554,56,24,15
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 3",111,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:30:39",2009,1889,108,12,0,731,716,3,12,0,704,27,2200,1469,69,259,24,329,23
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 3",110,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:06:07",1997,1849,139,8,1,739,729,1,8,1,717,22,2100,1361,83,239,23,357,15
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 3 ”AL. DIMITRIE GHICA ”",249,"MOARA VLĂSIEI",104243,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:28:56",1614,1605,3,6,0,934,928,0,6,0,916,18,1805,871,84,723,41,56,12
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 3 BUFTEA",32,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:11:23",643,613,1,21,8,429,400,0,21,8,393,15,700,292,44,245,31,61,12
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 3 BUFTEA",31,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 21:34:24",1769,1726,4,29,10,1184,1145,0,29,10,1135,49,1900,716,163,646,95,172,59
25,ILFOV,"SCOALA GIMNAZIALA NR.3, ŞINDRILIŢA",229,GĂNEASA,103130,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:36:40",1168,1157,2,9,0,924,915,0,9,0,872,52,1273,349,66,759,22,12,13
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 3 SINTEŞTI",290,VIDRA,105936,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:29:06",1137,1133,0,4,0,589,585,0,4,0,375,142,1266,749,30,314,10,9,12
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 3 SINTEŞTI",289,VIDRA,105936,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:49:24",846,838,0,6,2,390,382,0,6,2,370,20,900,510,59,255,18,29,9
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 4 BUFTEA",29,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:54:52",1127,1092,0,19,16,771,736,0,19,16,718,53,1200,429,102,467,49,62,38
25,ILFOV,"SCOALA GIMNAZIALA ” PETRU RARES”",167,CHIAJNA,179249,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:03:21",1975,1920,23,32,0,853,821,0,32,0,830,23,2100,1247,80,352,62,308,28
25,ILFOV,"SCOALA GIMNAZIALA ”PETRU RARES”",170,CHIAJNA,179249,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:33",1990,1946,22,22,0,628,606,0,22,0,619,9,2100,1472,60,218,46,261,34
25,ILFOV,"SCOALA GIMNAZIALA ”PETRU RARES””",168,CHIAJNA,179249,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:01:41",1972,1924,27,21,0,631,610,0,21,0,615,16,2100,1469,63,186,39,299,28
