precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUCA IOSIF-PARTIDUL SOCIAL DEMOCRAT-voturi","PETRUŢ BUJOR-PARTIDUL NAȚIONAL LIBERAL-voturi","BLAGA LUCIAN-DRAGOŞ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
1,ALBA,"CAMINUL CULTURAL GEOGEL",344,PONOR,6397,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:58:42",221,181,1,32,7,171,131,1,32,7,156,6,225,63,13,126,17
1,ALBA,"PRIMARIA COMUNEI PONOR",343,PONOR,6397,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:48",377,334,0,34,9,286,243,0,34,9,278,8,397,111,31,184,63
