precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA NAȚIUNII ROMÂNE-voturi"
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”DUMITRU GAFTON” GĂLĂUȚAȘ",149,GĂLĂUŢAŞ,84460,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:45",934,924,2,1,7,448,440,0,1,7,426,22,900,452,21,111,179,40,62,13
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”DUMITRU GAFTON” GĂLĂUȚAȘ",150,GĂLĂUŢAŞ,84460,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:27:52",697,693,1,2,1,271,268,0,2,1,258,13,800,529,29,45,74,35,75,0
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”DUMITRU GAFTON” GĂLĂUȚAȘ",151,GĂLĂUŢAŞ,84460,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:46",308,304,1,2,1,193,190,0,2,1,189,4,400,207,27,2,53,16,77,14
