precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","OLTEANU MIRCEA-voturi"
36,TELEORMAN,"CĂMIN CULTURAL CONŢEŞTI",144,CONŢEŞTI,152564,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:15:52",1165,1096,0,11,58,802,733,0,11,58,777,25,1270,467,98,656,23
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL CONŢEŞTI",143,CONŢEŞTI,152564,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:40:40",1379,1300,0,24,55,863,784,0,24,55,827,36,1431,568,98,703,26
