precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STOIAN SAVA-PARTIDUL SOCIAL DEMOCRAT-voturi","RÎNIOSU COSMIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","CHITA ADRIAN-CĂLIN-FORȚA DREPTEI-voturi","CIOBU CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
37,TIMIŞ,"CAMINUL CULTURAL NR. 673, SARAVALE",539,SARAVALE,159455,3,PART,PRCNCT,P,P_SV,"2024-06-14 21:18:06",861,833,0,3,25,565,537,0,3,25,544,19,1000,435,237,14,275,18
37,TIMIŞ,"SALA PRIMARIEI NR. 167B, SARAVALE",538,SARAVALE,159455,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:28:03",1287,1255,0,6,26,824,792,0,6,26,764,60,1357,533,450,25,266,23
