precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NECHITA LUCIAN-CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PETCU TRAIAN-CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BOROŞ DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","VINTILĂ ANA-MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MÎŢĂ JUSTIANA-MIHAELA-PARTIDUL NOUA DREAPTĂ-voturi","POGHIRC NICOLAE-PARTIDUL PRO ROMÂNIA-voturi","NECHITA TIBERIUS-DANIEL-PARTIDUL S.O.S. ROMÂNIA-voturi","IAMANDI-RĂIANU MARIUS-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","SÂRBU BOGDAN-IOAN-voturi","VLAŞIN ORANIA-voturi"
39,VASLUI,"SALA DE SPORT A ȘCOLII GIMNAZIALE ”EPISCOP IACOV ANTONOVICI”",99,"MUNICIPIUL BÂRLAD",161794,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:00:18",1188,1181,0,7,0,448,441,0,7,0,440,8,1400,952,28,55,260,45,1,3,5,16,18,9
39,VASLUI,"ŞCOALA GENERALA NR. 7 ”CĂPITAN GRIGORE IGNAT”",91,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:21:24",818,813,1,4,0,270,266,0,4,0,263,7,900,630,28,37,127,25,2,3,11,14,10,6
39,VASLUI,"ŞCOALA GENERALA NR. 7 ”CĂPITAN GRIGORE IGNAT”",92,"MUNICIPIUL BÂRLAD",161794,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:14",858,852,0,6,0,332,326,0,6,0,322,10,900,568,19,29,209,30,2,3,4,14,10,2
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”GEORGE TUTOVEANU”",126,"MUNICIPIUL BÂRLAD",161794,4,PART,PRCNCT,P,P_SV,"2024-06-10 11:05:59",1306,1301,0,5,0,506,501,0,5,0,493,13,1400,894,26,46,253,64,3,3,10,37,43,8
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”GEORGE TUTOVEANU”",124,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:56:34",1360,1355,2,3,0,460,457,0,3,0,449,11,1400,940,18,37,251,66,4,4,10,42,12,5
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”GEORGE TUTOVEANU”",125,"MUNICIPIUL BÂRLAD",161794,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:26:36",1474,1469,0,5,0,512,507,0,5,0,496,16,1600,1088,26,43,261,56,2,4,22,45,34,3
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”IORGU RADU”",116,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:37",1283,1277,0,6,0,442,436,0,6,0,432,10,1300,858,22,48,234,55,3,2,12,17,29,10
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”IORGU RADU”",117,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:06",1414,1410,0,4,0,490,486,0,4,0,477,13,1600,1110,15,48,266,68,1,4,16,12,35,12
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”MANOLACHE COSTACHE EPUREANU”",102,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:04",1272,1261,1,9,1,468,458,0,9,1,457,11,1400,932,32,43,258,42,3,2,6,37,22,12
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR. 10",89,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:56",1891,1886,1,4,0,805,801,0,4,0,786,19,2000,1195,48,58,496,60,1,2,25,45,46,5
