precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"ANEXĂ IMOBIL-PRIMĂRIA COMUNEI CALVINI",177,CALVINI,45753,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:24:10",846,786,0,25,35,562,502,0,25,35,505,45,860,310,45,108,321,2,1,5,23
10,BUZĂU,"CĂMIN CULTURAL",122,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:56:54",696,692,0,4,0,447,443,0,4,0,420,27,768,321,78,106,207,3,2,14,10
10,BUZĂU,"CĂMIN CULTURAL",124,"ORAŞ PĂTÂRLAGELE",48325,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:49:13",187,181,0,6,0,122,116,0,6,0,115,7,199,77,14,33,59,1,1,1,6
10,BUZĂU,"CĂMIN CULTURAL",327,RÂMNICELU,48968,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 22:13:25",1057,1045,0,12,0,768,756,0,12,0,644,124,1140,372,88,142,249,121,5,30,9
10,BUZĂU,"CÃMIN CULTURAL",387,ŢINTEŞTI,49849,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:50:04",1802,1781,2,1,18,1170,1151,0,1,18,1076,94,1972,802,87,160,513,1,7,34,274
10,BUZĂU,"CĂMIN CULTURAL BĂDÂRLEGI",105,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:36:44",99,87,0,7,5,76,64,0,7,5,73,3,100,24,4,6,56,0,1,3,3
10,BUZĂU,"CAMIN CULTURAL BALTENI",182,"C.A. ROSETTI",45815,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:31:35",353,346,0,7,0,242,235,0,7,0,207,35,380,138,0,26,158,0,2,6,15
10,BUZĂU,"CĂMIN CULTURAL BÎSCA ROZILEI",109,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:50:11",536,521,0,7,8,334,319,0,7,8,321,13,590,256,37,41,193,0,6,19,25
10,BUZĂU,"CĂMIN CULTURAL CĂNEŞTI",187,CĂNEŞTI,45888,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:59:31",410,360,0,18,32,314,264,0,18,32,293,21,427,113,16,33,206,3,8,9,18
10,BUZĂU,"CĂMIN CULTURAL CU BIBLIOTECĂ",236,GHERĂSENI,46803,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:55:22",1437,1411,0,4,22,881,855,0,4,22,825,56,1607,726,105,102,495,12,9,48,54
