precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BORZOŞ GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROMAN CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","DRĂGAN GYÖRGY-PARTIDUL NAȚIONAL LIBERAL-voturi","MÉSZÁROS GÁBOR-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL APAȚA",296,APAŢA,40526,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:50",1297,1283,0,3,11,770,756,0,3,11,731,39,1400,630,16,18,456,241
8,BRAŞOV,"CĂMINUL CULTURAL APAȚA",297,APAŢA,40526,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:03",1184,1174,0,4,6,698,688,0,4,6,663,34,1324,627,11,14,309,329
