precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIOCÎRLAN CONSTANTIN-CRISTINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PASĂRE VILI-PARTIDUL SOCIAL DEMOCRAT-voturi","POPESCU GHEORGHE-UNIUNEA SALVAȚI ROMÂNIA-voturi","PERSU CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
20,GORJ,"CĂMINUL CULTURAL ”MIHAI EMINESCU”",208,DRĂGOTEŞTI,80249,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:58",913,888,0,3,22,582,557,0,3,22,573,9,1000,418,68,445,11,49
20,GORJ,"ȘCOALA GENERALĂ COROBĂI",209,DRĂGOTEŞTI,80249,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:30:39",1060,1041,0,4,15,635,616,0,4,15,621,11,1175,543,88,411,6,116
