precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",229,ARINIŞ,107047,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:44",195,158,3,26,8,156,119,3,26,8,150,6,180,24,6,86,1,10,2,45
26,MARAMUREŞ,"CĂMINUL CULTURAL",227,ARINIŞ,107047,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:06:04",582,536,0,27,19,412,366,0,27,19,401,11,606,192,74,180,19,49,27,52
26,MARAMUREŞ,"CĂMINUL CULTURAL",228,ARINIŞ,107047,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:06",157,145,0,10,2,128,116,0,10,2,125,3,170,42,2,73,39,7,0,4
