precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONIŢĂ ALEXANDRA-ELENA-PARTIDUL NAȚIONAL LIBERAL-voturi","TIRIZICĂ GHEORGHIŢĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","SAVA IULIAN-MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"SCOALA GIMNAZIALA ING. OPRISAN IARCA UNGURIU",391,UNGURIU,50549,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:25:21",960,949,0,2,9,476,465,0,2,9,463,13,1050,574,22,380,61
10,BUZĂU,"SCOALA GIMNAZIALA ING. OPRISAN IARCA UNGURIU",390,UNGURIU,50549,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:03:59",924,910,0,1,13,475,461,0,1,13,460,15,1016,541,19,371,70
