precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GHERASIM IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞERBAN MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi","SILVESTRU ALEXANDRINA-PARTIDUL S.O.S. ROMÂNIA-voturi"
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL",109,CIUCUROVA,160225,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:41:07",404,400,0,4,0,208,204,0,4,0,197,11,441,233,66,124,7
38,TULCEA,"ŞCOALA GIMNAZIALĂ",107,CIUCUROVA,160225,3,PART,PRCNCT,P,P_SV,"2024-06-10 16:12:52",1143,1130,0,11,2,547,534,0,11,2,514,33,1248,701,84,389,41
38,TULCEA,"ŞCOALA PRIMARĂ",108,CIUCUROVA,160225,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:27",156,147,0,9,0,91,82,0,9,0,88,3,166,75,11,61,16
