precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FONAI ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","SILAGHI GHEORGHINA-PARTIDUL SOCIAL DEMOCRAT-voturi"
5,BIHOR,"FOSTA SCOALA CU CLASELE I-IV CIULEȘTI",576,SPINUŞ,31208,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:51:33",175,144,0,28,3,127,96,0,28,3,124,3,164,37,31,93
5,BIHOR,"FOSTA SCOALA CU CLASELE I-IV GURBEŞTI",577,SPINUŞ,31208,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:35:47",97,87,0,8,2,70,60,0,8,2,70,0,98,28,53,17
5,BIHOR,"FOSTA SCOALA CU CLASELE I-IV NĂDAR",578,SPINUŞ,31208,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:40:33",200,170,0,25,5,142,112,0,25,5,142,0,189,47,66,76
5,BIHOR,"SCOALA GIMNAZIALA NR.1 SPINUS",575,SPINUŞ,31208,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:04:17",359,287,1,62,9,263,192,0,62,9,263,0,328,65,108,155
5,BIHOR,"SCOALA PRIMARĂ NR.1 SĂLIŞTE",579,SPINUŞ,31208,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:51:21",239,187,0,50,2,184,132,0,50,2,182,2,194,10,154,28
