precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM NORMAL OFSENIŢA",303,BANLOC,155591,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:37:52",321,314,0,4,3,149,142,0,4,3,148,1,400,251,99,6,12,31
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM NORMAL PARTOŞ",304,BANLOC,155591,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:15:10",377,370,1,6,0,183,176,1,6,0,175,8,390,207,67,8,7,93
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM NORMAL SOCA",305,BANLOC,155591,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:47:52",449,436,0,5,8,248,235,0,5,8,230,18,500,252,85,60,39,46
37,TIMIŞ,"PRIMĂRIA BANLOC",302,BANLOC,155591,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:48:31",1359,1322,5,15,17,750,717,1,15,17,720,30,1400,648,391,19,56,254
