precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi"
26,MARAMUREŞ,ŞCOALA,335,LEORDINA,108240,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:29:15",552,529,3,2,18,286,266,0,2,18,268,17,591,306,22,47,94,42,17,40,6
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ NR.1, CORP B",334,LEORDINA,108240,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:30:33",1441,1397,0,9,35,871,827,0,9,35,793,66,1600,729,137,99,247,103,70,123,14
