precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIRIAC MACOVEI-PARTIDUL SOCIAL DEMOCRAT-voturi","VULCAN SORINEL-GICU-PARTIDUL NAȚIONAL LIBERAL-voturi"
41,VRANCEA,"ȘCOALA GIMNAZIALĂ SPULBER",287,SPULBER,178965,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:48:31",911,871,0,11,29,657,617,0,11,29,641,11,991,339,186,455
41,VRANCEA,"ȘCOALA PRIMARĂ PĂVĂLARI",288,SPULBER,178965,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:59:12",102,96,0,6,0,70,64,0,6,0,69,1,105,35,26,43
