precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOITIŞ GAVRIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DULANYI-BALOGH SZILÁRD-UNIUNEA SALVAȚI ROMÂNIA-voturi","ANTAL ÁRPÁD-ANDRÁS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","OLTEAN PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi","KOLCZA ISTVÁN-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","ERŐSS BULCSÚ-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"ARENA SEPSI",47,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:43:52",127,115,2,8,2,90,80,0,8,2,85,5,200,110,1,3,74,3,1,3
15,COVASNA,"CĂMIN CULTURAL",50,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:40:50",393,387,0,6,0,193,187,0,6,0,187,6,494,301,3,4,151,2,2,25
15,COVASNA,"CĂMIN CULTURAL",49,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:31:23",712,703,0,5,4,312,303,0,5,4,306,6,800,488,4,11,274,5,7,5
15,COVASNA,"CASA DE CULTURĂ ”KÓNYA ÁDÁM”",1,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:27:09",1379,1357,5,9,8,669,652,0,9,8,651,18,1521,852,6,18,580,19,5,23
15,COVASNA,"CENTRUL MULTICULTURAL ”NÉRI SZENT FÜLÖP”",2,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:56:39",1364,1355,1,7,1,543,534,1,7,1,434,109,1500,957,7,7,317,84,8,11
15,COVASNA,"COLEGIUL NAȚIONAL ”SZÉKELY MIKÓ”",3,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:30:49",1088,1062,11,8,7,528,513,0,8,7,518,10,1200,672,11,15,431,29,12,20
15,COVASNA,"DIRECŢIA FINANŢE PUBLICE MUNICIPALE",5,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:07:39",810,793,0,11,6,410,393,0,11,6,404,6,900,490,10,10,342,24,5,13
15,COVASNA,"DIRECȚIA FINANȚE PUBLICE MUNICIPALE",4,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:21",816,799,0,11,6,380,363,0,11,6,375,5,900,520,11,16,299,23,9,17
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ÁRVÁCSKA”",24,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:41:06",817,811,0,3,3,280,274,0,3,3,275,5,900,620,20,4,224,15,9,3
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ÁRVÁCSKA”",23,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:55",1237,1223,1,5,8,452,439,0,5,8,436,16,1400,948,18,8,361,24,10,15
15,COVASNA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”ÁRVÁCSKA”",25,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:43",1151,1136,1,9,5,392,378,0,9,5,381,11,1300,908,15,7,327,17,4,11
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”BENEDEK ELEK”",39,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:07:54",902,888,1,8,5,443,430,0,8,5,438,5,1000,557,15,16,354,35,6,12
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",13,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:39",856,839,6,5,6,378,361,6,5,6,369,9,900,522,11,7,320,11,11,9
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",12,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:54",943,926,6,2,9,426,415,0,2,9,421,5,1000,574,3,6,376,4,9,23
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",10,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:38",1614,1589,8,8,9,794,778,0,8,8,786,8,1700,906,18,16,657,18,25,52
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",11,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:09:48",1436,1414,4,9,9,654,637,0,9,8,641,13,1616,962,10,11,567,17,13,23
15,COVASNA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”GULLIVER”",14,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:53:39",959,941,3,13,2,408,393,0,13,2,397,11,1000,592,12,14,322,21,9,19
15,COVASNA,"GRADINIŢA CU PROGRAM PRELUNGIT ”HÓFEHÉRKE”",18,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:28",659,629,0,9,21,369,339,0,9,21,365,4,700,331,4,6,336,7,6,6
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”NAPSUGÁR”",45,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:37:09",1011,997,3,5,6,375,364,0,5,6,363,11,1100,724,15,18,287,31,11,1
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”NAPSUGÁR”",46,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:10:36",1091,1086,0,3,2,409,404,0,3,2,401,8,1200,791,25,26,294,44,6,6
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PINOCCHIO”",37,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:14:36",777,771,0,5,1,330,324,0,5,1,311,6,800,483,9,6,274,13,2,7
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PINOCCHIO”",38,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:31:52",1242,1230,1,8,3,504,493,0,8,3,498,6,1400,896,42,26,362,49,4,15
15,COVASNA,"LICEUL DE ARTE ”PLUGOR SÁNDOR”",22,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:09:51",759,736,2,8,13,384,363,0,8,13,376,8,800,416,3,4,330,3,11,25
15,COVASNA,"LICEUL DE ARTE ”PLUGOR SÁNDOR”",21,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:32:29",1025,992,5,14,14,560,530,2,14,14,549,11,1100,540,6,12,471,20,14,26
15,COVASNA,"LICEUL TEHNOLOGIC ECONOMIC, ADMINISTRATIV ”BERDE ÁRON”",6,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:38:41",815,800,0,12,3,353,338,0,12,3,333,5,900,5,18,18,273,10,4,10
15,COVASNA,"LICEUL TEHNOLOGIC ECONOMIC, ADMINISTRATIV ”BERDE ÁRON”",8,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:30:44",1004,987,9,6,2,476,468,0,6,2,469,7,1100,624,14,22,389,22,10,12
15,COVASNA,"LICEUL TEHNOLOGIC ECONOMIC, ADMINISTRATIV ”BERDE ÁRON”",7,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:25",1006,992,4,9,1,469,459,0,9,1,464,5,1100,631,15,28,349,40,13,19
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",29,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:25:41",1436,1424,4,2,6,635,627,0,2,6,624,11,1600,965,20,35,500,50,8,11
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",31,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:41",1231,1216,5,5,5,540,529,1,5,5,534,6,1400,860,19,25,427,43,5,15
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",30,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:31:27",1126,1112,0,11,3,477,463,0,11,3,475,2,1200,723,18,12,398,28,9,10
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",32,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:45:49",1424,1405,4,8,7,617,601,1,8,7,606,11,1500,883,25,22,467,66,14,12
15,COVASNA,"LICEUL TEORETIC ”MIKES KELEMEN”",9,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:23",1255,1228,7,10,10,517,497,0,10,10,508,9,1400,883,9,22,418,27,12,20
15,COVASNA,"MUZEUL NAȚIONAL SECUIESC",15,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:56",1221,1185,5,11,20,572,542,0,11,19,564,8,1300,728,11,10,495,8,10,30
15,COVASNA,"MUZEUL NAȚIONAL SECUIESC",16,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:51:02",973,948,5,10,10,428,406,2,10,10,418,10,1103,675,6,7,374,13,2,16
15,COVASNA,"PARCUL INDUSTRIAL",48,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:14:03",324,315,1,6,2,146,138,0,6,2,138,8,391,245,4,2,103,15,5,9
15,COVASNA,"SALA DE SPORT",17,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:02:17",1354,1301,19,11,23,844,811,1,11,21,833,11,1500,656,11,19,730,23,15,35
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”ADY ENDRE”",42,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:47:49",736,726,1,4,5,276,267,0,4,5,273,3,800,524,32,15,190,29,5,2
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”ADY ENDRE”",44,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:59:36",1312,1302,0,5,5,541,531,0,5,5,538,3,1500,959,22,28,419,38,21,10
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”ADY ENDRE”",43,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:20:26",859,841,2,8,8,300,292,0,0,8,293,7,900,600,10,23,214,38,2,6
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”GÖDRI FERENC”",26,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:12",1225,1204,2,13,6,426,407,0,13,6,418,8,1400,974,14,11,351,25,11,6
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”NICOLAE COLAN”",35,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:33",801,788,1,7,5,316,303,1,7,5,314,2,900,584,5,9,270,13,5,12
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”NICOLAE COLAN”",34,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:36:14",951,936,0,9,6,400,385,0,9,6,393,7,1000,600,11,16,314,32,9,11
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”NICOLAE COLAN”",36,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:46:25",693,681,2,7,3,252,242,0,7,3,237,5,818,576,10,8,199,12,2,6
15,COVASNA,"ȘCOALA GIMNAZIALĂ ”NICOLAE COLAN”",33,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:52:53",1058,1043,1,8,6,466,452,0,8,6,457,9,1100,634,18,12,359,47,11,10
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”VÁRADI JÓZSEF”",20,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:11:00",1343,1289,6,7,41,748,699,1,7,41,694,54,1500,752,8,11,609,21,14,31
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”VÁRADI JÓZSEF”",19,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:44:29",1011,998,2,8,3,460,449,0,8,3,451,9,1100,640,12,14,383,10,8,24
15,COVASNA,"ŞTRAND MUNICIPAL SFÂNTU GHEORGHE",40,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:15:27",1309,1296,5,4,4,517,508,1,4,4,505,10,1400,883,26,19,402,38,8,12
15,COVASNA,"ŞTRAND MUNICIPAL SFÂNTU GHEORGHE",41,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:21",1594,1563,15,12,4,703,686,1,12,4,689,14,1700,997,32,25,553,51,10,18
15,COVASNA,"UNIVERSITATEA ”SAPIENTIA” SFANTU GHEORGHE",28,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:25",863,842,2,6,13,373,354,0,6,13,366,7,900,527,10,21,305,11,3,16
15,COVASNA,"UNIVERSITATEA ”SAPIENTIA” SFANTU GHEORGHE",27,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:04:31",666,646,0,0,20,666,646,0,0,20,666,0,1600,934,6,14,594,26,12,14
