precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂRGINEAN IOAN-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","MUNTEANU CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ONEA MIRCEA-LAURENŢIU-PARTIDUL NAȚIONAL LIBERAL-voturi"
2,ARAD,"CASA DE CULTURĂ NĂDLAC, STRADA 1 DECEMBRIE (STRADA 23 AUGUST),",142,"ORAŞ NĂDLAC",9627,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:01:32",1594,1567,7,8,12,807,785,2,8,12,782,25,1740,933,314,42,426
2,ARAD,"LICEUL TEORETIC „JOZEF GREGOR TAJOVSKY” NĂDLAC, ORAȘUL NĂDLAC - GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",144,"ORAŞ NĂDLAC",9627,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:20:09",1623,1591,4,6,22,855,826,1,6,22,832,23,1788,933,289,46,497
2,ARAD,"LICEUL TEORETIC „JOZEF GREGOR TAJOVSKY” NĂDLAC, PIAŢA UNIRII",141,"ORAŞ NĂDLAC",9627,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:55:58",1533,1500,3,7,23,813,783,0,7,23,798,15,1690,877,290,17,491
2,ARAD,"LICEUL TEORETIC „JOZEF GREGOR TAJOVSKY” NĂDLAC, STRADA 1 DECEMBRIE (STRADA 23 AUGUST)",143,"ORAŞ NĂDLAC",9627,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:36:30",1673,1639,1,8,25,859,826,0,8,25,831,28,1840,981,386,30,415
