precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OPRINA ANDREI-VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ARMEANU VALERIU-PARTIDUL SOCIAL DEMOCRAT-voturi","ZAMAN GRIGORE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CLĂDIRE CĂMIN CULTURAL CLONDIRU",389,ULMENI,49894,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:19:16",1287,1241,2,10,34,845,803,0,10,32,820,25,1366,515,460,283,77
10,BUZĂU,"CLĂDIRE SALA DE EDUCAȚIE FIZICĂ ȘCOLARA ULMENI",388,ULMENI,49894,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:03:33",1240,1219,1,9,11,684,664,0,9,11,666,18,1286,602,306,342,18
