precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGOI DANIELA-MARIANA-PARTIDUL SOCIAL DEMOCRAT-voturi","PANAIT EUGENIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RĂDULESCU NICU-LUCIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"CĂMIN CULTURAL FRĂȚILEȘTI",203,SĂVENI,94376,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:38:06",344,344,0,0,0,172,172,0,0,0,166,6,455,283,86,15,65
23,IALOMIŢA,"GRĂDINIŢA SĂVENI",202,SĂVENI,94376,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:45:03",1181,1176,0,1,4,546,541,0,1,4,542,4,1208,662,479,25,38
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ SĂVENI",201,SĂVENI,94376,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:18",1209,1194,0,5,10,596,581,0,5,10,588,8,1350,754,508,51,29
