precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ENACHE CĂTĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","SAVU ROBERT-CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","CIOANĂ MARIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL DUMBRAVA DE JOS",166,DUMBRAVA,111587,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:10",375,324,1,33,17,270,219,1,33,17,255,15,353,83,229,3,23
27,MEHEDINŢI,"CĂMINUL CULTURAL ROCŞORENI",168,DUMBRAVA,111587,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:20:51",90,70,0,16,4,69,49,0,16,4,69,0,86,17,58,2,9
27,MEHEDINŢI,"CLĂDIRE FOSTA ŞCOALĂ VALEA MARCULUI",169,DUMBRAVA,111587,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:41:57",93,69,0,20,4,93,69,0,20,4,92,1,99,6,85,3,4
27,MEHEDINŢI,"CLĂDIRE FOSTĂ ŞCOALĂ VLĂDICA",170,DUMBRAVA,111587,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:51:30",67,45,0,20,2,58,36,0,20,2,56,2,76,18,31,3,22
27,MEHEDINŢI,"ŞCOALA GENERALĂ ALBULEŞTI",167,DUMBRAVA,111587,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:49:58",467,384,0,45,38,355,272,0,45,38,336,19,485,130,299,27,10
