precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LIPŞA ELENA-LUMINIŢA-PARTIDUL SOCIAL DEMOCRAT-voturi","ROMAN MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GOLOGAN NICOLAE-UNIUNEA SALVAȚI ROMÂNIA-voturi","GRIGORE DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","MIRONEANU VASILE-PARTIDUL MIȘCAREA POPULARĂ-voturi"
24,IAŞI,"CĂMIN CULTURAL BÎCU",518,IPATELE,97553,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:55:32",412,406,0,4,2,229,223,0,4,2,226,3,500,271,158,5,1,55,7
24,IAŞI,"CĂMIN CULTURAL CUZA-VODĂ",519,IPATELE,97553,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:04:24",405,395,0,4,6,229,219,0,4,6,217,12,400,171,184,7,16,8,2
24,IAŞI,"SCOLA GIMNAZIALA”ION HAULICA”IPATELE",517,IPATELE,97553,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:37:05",500,492,0,0,8,275,267,0,0,8,263,12,529,254,191,17,3,48,4
