precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL VERDE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
13,CLUJ,"CĂMINUL CULTURAL BEDECIU",533,MĂNĂSTIRENI,58393,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:26:08",421,394,0,19,8,315,288,0,19,8,298,17,447,132,3,55,98,53,2,87
13,CLUJ,"PRIMĂRIA COMUNEI",532,MĂNĂSTIRENI,58393,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:57:25",785,716,4,45,20,559,493,1,45,20,537,17,780,221,112,138,208,30,34,15
