precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi"
20,GORJ,"PRIMĂRIA GODINEŞTI",223,GODINEŞTI,80427,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:15",898,877,3,13,5,540,522,0,13,5,522,18,900,360,51,52,51,329,32,5,2
20,GORJ,"ŞCOALA CÎLCEŞTI",224,GODINEŞTI,80427,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:16:56",253,238,0,15,0,154,139,0,15,0,147,7,300,146,5,13,17,94,12,6,0
20,GORJ,"ȘCOALA PÎRÎU DE VALE",226,GODINEŞTI,80427,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:55",173,164,0,8,1,105,96,0,8,1,103,2,195,90,15,6,8,52,18,4,0
20,GORJ,"ŞCOALA PRIMARĂ PÎRÎU DE PRIPOR",225,GODINEŞTI,80427,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:28:58",335,327,0,7,1,236,228,0,7,1,229,7,400,164,15,2,13,165,8,0,26
