precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOISĂ MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CAŞU MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","SLAVU ŞTEFAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ARTENIE IANCU-UNIUNEA SALVAȚI ROMÂNIA-voturi","ION TOMIŢĂ-PARTIDUL PRO ROMÂNIA-voturi"
18,GALAŢI,"BIBLIOTECA COMUNALA",350,MOVILENI,76745,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:42:14",1553,1525,2,10,16,735,709,0,10,16,693,42,1697,962,210,300,162,13,8
18,GALAŢI,"SCOALA NR.2 MOVILENI",351,MOVILENI,76745,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:49:34",1173,1141,0,13,19,585,553,0,13,19,565,20,1250,665,88,344,121,4,8
