precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DICU ANIŞOARA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PETRIŞOR SĂNDEL-PARTIDUL SOCIAL DEMOCRAT-voturi","NICULAE STELIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","PETRESCU MARIAN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
36,TELEORMAN,"CENTRUL MEMORIAL ”MARIN PREDA”",285,SILIŞTEA-GUMEŞTI,154282,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:09:55",1154,1089,0,20,45,713,648,0,20,45,698,14,1193,481,198,248,200,52
36,TELEORMAN,"ȘCOALA CU CLASELE I-IV ”MĂGURA”",286,SILIŞTEA-GUMEŞTI,154282,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:26:54",737,690,0,14,33,493,446,0,14,33,484,9,800,307,197,145,110,32
