precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VLĂŞCEANU IONEL-MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CEAUŞESCU MONICA-SILVIA-PARTIDUL NAȚIONAL LIBERAL-voturi","CONSTANTIN MARIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ION MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ NR.1 CUZA VODĂ",111,"CUZA VODĂ",93281,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:58:59",1833,1776,2,32,23,1157,1102,0,32,23,1131,26,1877,720,515,592,15,9
12,CĂLĂRAŞI,"ŞCOALA PRIMARĂ NR.1 CĂLĂRAŞI VECHI",110,"CUZA VODĂ",93281,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:07",591,562,0,18,11,415,386,0,18,11,404,11,700,285,103,299,2,0
12,CĂLĂRAŞI,"ŞCOALA PRIMARĂ NR.1 CEACU",109,"CUZA VODĂ",93281,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:31:03",1101,1058,1,18,24,766,728,0,18,20,751,15,1163,397,321,420,3,7
