precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STOICA GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","ILIE MARIA-PARTIDUL NAȚIONAL LIBERAL-voturi","DAN NICOLETA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ",198,SĂLCIOARA,94330,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:20:29",859,792,1,27,39,661,595,0,27,39,651,10,900,239,384,63,204
23,IALOMIŢA,"ŞCOALA PRIMARĂ",199,SĂLCIOARA,94330,2,PART,PRCNCT,P,P_SV,"2024-06-13 14:16:22",811,746,0,18,47,636,571,0,18,47,619,17,896,260,222,325,72
