precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"REBIC CODRUŢ-VLAD-PARTIDUL SOCIAL DEMOCRAT-voturi","BALLA IMRE-FERENC-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ŞIPOŞ IOZSEF-PARTIDUL NAȚIONAL LIBERAL-voturi"
32,"SATU MARE","CLĂDIRE ADMINISTRATIVĂ",285,SĂCĂŞENI,138770,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:19:09",129,112,0,13,4,81,64,0,13,4,75,6,130,49,34,5,36
32,"SATU MARE","PRIMARIA SACASENI",284,SĂCĂŞENI,138770,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:37:38",844,810,0,10,24,499,465,0,10,24,466,33,881,382,52,238,176
